Bowler_Id,total_runs_conceded,balls_bowled,economy_rate,Player_Name
1,5.0,277,0.10830324909747292,SC Ganguly
4,7.0,318,0.1320754716981132,DJ Hussey
5,4.0,61,0.3934426229508197,Mohammad Hafeez
8,16.0,257,0.3735408560311284,V Kohli
9,51.0,1765,0.173371104815864,JH Kallis
10,0.0,44,0.0,CL White
12,6.0,189,0.19047619047619047,B Akhil
13,1.0,24,0.25,AA Noffke
14,66.0,2451,0.16156670746634028,P Kumar
15,55.0,1971,0.167427701674277,Z Khan
16,0.0,55,0.0,SB Joshi
21,20.0,831,0.1444043321299639,SK Raina
22,14.0,240,0.35,JDP Oram
24,1.0,66,0.09090909090909091,K Goel
25,14.0,360,0.23333333333333334,JR Hopes
27,14.0,847,0.09917355371900827,Yuvraj Singh
29,48.0,2039,0.14124570868072586,IK Pathan
31,28.0,1110,0.15135135135135136,YK Pathan
32,75.0,1717,0.262085032032615,SR Watson
35,26.0,1705,0.09149560117302052,RA Jadeja
37,4.0,48,0.5,D Salunkhe
38,18.0,1194,0.09045226130653267,SK Warne
39,47.0,1527,0.18467583497053044,SK Trivedi
41,6.0,137,0.26277372262773724,V Sehwag
42,1.0,49,0.12244897959183675,S Dhawan
44,6.0,294,0.12244897959183673,ST Jayasuriya
45,0.0,42,0.0,DJ Thornely
48,1.0,229,0.026200873362445417,AM Nayar
49,6.0,276,0.13043478260869565,SM Pollock
50,66.0,2687,0.14737625604763677,Harbhajan Singh
52,0.0,12,0.0,LRPL Taylor
53,0.0,1,0.0,AC Gilchrist
54,1.0,216,0.027777777777777776,Y Venugopal Rao
56,21.0,528,0.23863636363636365,A Symonds
57,9.0,332,0.16265060240963855,RG Sharma
58,2.0,216,0.05555555555555555,SB Styris
59,2.0,150,0.08,SB Bangar
60,13.0,284,0.27464788732394363,WPUJC Vaas
61,87.0,1802,0.28967813540510545,RP Singh
63,15.0,316,0.2848101265822785,LR Shukla
66,47.0,894,0.31543624161073824,B Lee
67,48.0,2448,0.11764705882352941,PP Chawla
68,3.0,73,0.24657534246575344,WA Mota
70,13.0,181,0.430939226519337,Shahid Afridi
71,65.0,2047,0.19052271617000488,DJ Bravo
72,1.0,30,0.2,MA Khote
73,49.0,1793,0.16397099832682654,A Nehra
75,6.0,302,0.11920529801324503,Pankaj Singh
77,58.0,905,0.38453038674033146,S Sreesanth
78,21.0,364,0.34615384615384615,VRV Singh
80,51.0,1313,0.23305407463823305,DS Kulkarni
81,66.0,2106,0.18803418803418803,R Vinay Kumar
82,30.0,791,0.2275600505689001,AB Agarkar
