Player_Id,Player_Name,total_runs,balls_faced,boundaries,strike_rate,boundary_percentage,total_runs_conceded,balls_bowled,economy_rate,all_rounder_index,Is_Keeper,Country,wickets,Team_Name,Role
26,KC Sangakkara,1687,1424,222,118.4691011235955,15.589887640449437,,,,,0,Sri Lanka,0,Kings Xi Punjab,Batsman
45,DJ Thornely,39,54,4,72.22222222222221,7.4074074074074066,0,42,0,inf,0,Australia,3,Mumbai Indians,Batsman
328,M PAndey,98,96,12,102.08333333333331,12.5,0,66,0,inf,0,India,0,Pune Warriors,Batsman
323,RJ Peterson,32,32,4,100,12.5,0,48,0,inf,0,South Africa,0,Mumbai Indians,Batsman
309,Y Chahal,116,70,17,165.71428571428572,24.285714285714285,17,587,0.1737649063032368,370.6022408963586,0,India,14,Rajasthan Royals,Bowler
248,DE Bollinger,21,23,2,91.30434782608695,8.695652173913043,25,582,0.2577319587628865,239.6521739130435,0,Australia,30,Chennai Super Kings,Bowler
166,KV Sharma,268,243,25,110.2880658436214,10.28806584,27,850,0.1905882352941176,317.4897119341564,0,India,32,Royal Challengers Bangalore,Bowler
239,KB Arun Karthik,51,53,5,96.22641509433964,9.433962264150944,,,,,1,India,0,Chennai Super Kings,Wicketkeeper
80,DS Kulkarni,89,99,8,89.8989899,8.080808080808081,51,1313,0.233054075,259.4919786096257,0,India,67,Mumbai Indians,Bowler
15,Z Khan,113,128,13,88.28125,10.15625,55,1971,0.167427702,342.7769886363636,0,India,75,Royal Challengers Bangalore,Bowler
61,RP Singh,52,78,3,66.66666666666666,3.8461538461538463,87,1802,0.2896781354051054,205.93869731800768,0,India,74,Deccan Chargers,Bowler
157,JD Ryder,604,466,88,129.6137339055794,18.88412017167382,7,237,0.1772151898734177,346.94972409564684,0,New Zealand,7,Royal Challengers Bangalore,All-Rounder
31,YK Pathan,2779,1953,374,142.29390681003585,19.150025601638504,28,1110,0.1513513513513513,401.5040962621608,0,India,36,Rajasthan Royals,All-Rounder
198,A Patel,123,103,13,119.41747572815532,12.62135922330097,0,187,0,inf,0,India,5,Delhi Daredevils,All-Rounder
11,MV Boucher,394,318,45,123.89937106918238,14.150943396226417,,,,,1,South Africa,0,Royal Challengers Bangalore,Wicketkeeper
20,MS Dhoni,3270,2419,376,135.17982637453494,15.543613063249277,,,,,1,India,0,Chennai Super Kings,Wicketkeeper
