Player_Id,Player_Name,total_runs,balls_faced,boundaries,strike_rate,boundary_percentage,total_runs_conceded,balls_bowled,economy_rate,all_rounder_index,Is_Keeper,Country,wickets,Team_Name,Role
1,SC Ganguly,1349.0,1326.0,179.0,101.73453996983407,13.499245852187029,5.0,277.0,0.1083032490974729,512.5339366515838,0,India,8,Kolkata Knight Riders,All-Rounder
1,SC Ganguly,1349.0,1326.0,179.0,101.73453996983407,13.499245852187029,5.0,277.0,0.1083032490974729,512.5339366515838,0,India,8,Pune Warriors,All-Rounder
2,BB McCullum,2435.0,1954.0,354.0,124.61617195496416,18.11668372569089,,,,,0,New Zealand,0,Kolkata Knight Riders,Batsman
2,BB McCullum,2435.0,1954.0,354.0,124.61617195496416,18.11668372569089,,,,,0,New Zealand,0,Kochi Tuskers Kerala,Batsman
2,BB McCullum,2435.0,1954.0,354.0,124.61617195496416,18.11668372569089,,,,,0,New Zealand,0,Chennai Super Kings,Batsman
2,BB McCullum,2435.0,1954.0,354.0,124.61617195496416,18.11668372569089,,,,,0,New Zealand,0,Gujarat Lions,Batsman
2,BB McCullum,2435.0,1954.0,354.0,124.61617195496416,18.11668372569089,,,,,1,New Zealand,0,Kolkata Knight Riders,Wicketkeeper
2,BB McCullum,2435.0,1954.0,354.0,124.61617195496416,18.11668372569089,,,,,1,New Zealand,0,Kochi Tuskers Kerala,Wicketkeeper
2,BB McCullum,2435.0,1954.0,354.0,124.61617195496416,18.11668372569089,,,,,1,New Zealand,0,Chennai Super Kings,Wicketkeeper
2,BB McCullum,2435.0,1954.0,354.0,124.61617195496416,18.11668372569089,,,,,1,New Zealand,0,Gujarat Lions,Wicketkeeper
3,RT Ponting,91.0,129.0,7.0,70.54263565891473,5.426356589147287,,,,,0,Australia,0,Kolkata Knight Riders,Batsman
3,RT Ponting,91.0,129.0,7.0,70.54263565891473,5.426356589147287,,,,,0,Australia,0,Mumbai Indians,Batsman
4,DJ Hussey,1322.0,1101.0,150.0,120.07266121707538,13.62397820163488,7.0,318.0,0.1320754716981132,438.6077591799663,0,Australia,5,Kolkata Knight Riders,All-Rounder
4,DJ Hussey,1322.0,1101.0,150.0,120.07266121707538,13.62397820163488,7.0,318.0,0.1320754716981132,438.6077591799663,0,Australia,5,Kings Xi Punjab,All-Rounder
4,DJ Hussey,1322.0,1101.0,150.0,120.07266121707538,13.62397820163488,7.0,318.0,0.1320754716981132,438.6077591799663,0,Australia,5,Chennai Super Kings,All-Rounder
5,Mohammad Hafeez,64.0,84.0,9.0,76.19047619047619,10.714285714285714,4.0,61.0,0.3934426229508197,165.17857142857142,0,Pakistan,2,Kolkata Knight Riders,Batsman
6,R Dravid,2170.0,1918.0,296.0,113.13868613138686,15.43274244004171,,,,,0,India,0,Royal Challengers Bangalore,Batsman
6,R Dravid,2170.0,1918.0,296.0,113.13868613138686,15.43274244004171,,,,,0,India,0,Rajasthan Royals,Batsman
7,W Jaffer,130.0,129.0,17.0,100.7751937984496,13.178294573643411,,,,,0,India,0,Royal Challengers Bangalore,Batsman
8,V Kohli,4105.0,3236.0,508.0,126.85414091470952,15.698393077873918,16.0,257.0,0.3735408560311284,197.2812371240214,0,India,4,Royal Challengers Bangalore,Batsman
9,JH Kallis,2427.0,2291.0,299.0,105.93627237014404,13.051069402007856,51.0,1765.0,0.173371104815864,341.36682899552954,0,South Africa,44,Royal Challengers Bangalore,All-Rounder
9,JH Kallis,2427.0,2291.0,299.0,105.93627237014404,13.051069402007856,51.0,1765.0,0.173371104815864,341.36682899552954,0,South Africa,44,Kolkata Knight Riders,All-Rounder
10,CL White,971.0,774.0,114.0,125.45219638242897,14.728682170542635,0.0,44.0,0.0,inf,0,Australia,1,Royal Challengers Bangalore,Batsman
10,CL White,971.0,774.0,114.0,125.45219638242897,14.728682170542635,0.0,44.0,0.0,inf,0,Australia,1,Deccan Chargers,Batsman
10,CL White,971.0,774.0,114.0,125.45219638242897,14.728682170542635,0.0,44.0,0.0,inf,0,Australia,1,Sunrisers Hyderabad,Batsman
11,MV Boucher,394.0,318.0,45.0,123.89937106918238,14.150943396226417,,,,,1,South Africa,0,Royal Challengers Bangalore,Wicketkeeper
11,MV Boucher,394.0,318.0,45.0,123.89937106918238,14.150943396226417,,,,,1,South Africa,0,Kolkata Knight Riders,Wicketkeeper
11,MV Boucher,394.0,318.0,45.0,123.89937106918238,14.150943396226417,,,,,0,South Africa,0,Royal Challengers Bangalore,Batsman
11,MV Boucher,394.0,318.0,45.0,123.89937106918238,14.150943396226417,,,,,0,South Africa,0,Kolkata Knight Riders,Batsman
12,B Akhil,76.0,57.0,10.0,133.33333333333331,17.543859649122805,6.0,189.0,0.1904761904761904,329.16666666666663,0,India,6,Royal Challengers Bangalore,Batsman
12,B Akhil,76.0,57.0,10.0,133.33333333333331,17.543859649122805,6.0,189.0,0.1904761904761904,329.16666666666663,0,India,6,Kochi Tuskers Kerala,Batsman
14,P Kumar,332.0,314.0,39.0,105.73248407643312,12.420382165605096,66.0,2451.0,0.1615667074663402,362.3359390079135,0,India,68,Royal Challengers Bangalore,Bowler
14,P Kumar,332.0,314.0,39.0,105.73248407643312,12.420382165605096,66.0,2451.0,0.1615667074663402,362.3359390079135,0,India,68,Kings Xi Punjab,Bowler
14,P Kumar,332.0,314.0,39.0,105.73248407643312,12.420382165605096,66.0,2451.0,0.1615667074663402,362.3359390079135,0,India,68,Sunrisers Hyderabad,Bowler
14,P Kumar,332.0,314.0,39.0,105.73248407643312,12.420382165605096,66.0,2451.0,0.1615667074663402,362.3359390079135,0,India,68,Gujarat Lions,Bowler
14,P Kumar,332.0,314.0,39.0,105.73248407643312,12.420382165605096,66.0,2451.0,0.1615667074663402,362.3359390079135,0,India,68,Mumbai Indians,Bowler
15,Z Khan,113.0,128.0,13.0,88.28125,10.15625,55.0,1971.0,0.167427701674277,342.7769886363636,0,India,75,Royal Challengers Bangalore,Bowler
15,Z Khan,113.0,128.0,13.0,88.28125,10.15625,55.0,1971.0,0.167427701674277,342.7769886363636,0,India,75,Mumbai Indians,Bowler
15,Z Khan,113.0,128.0,13.0,88.28125,10.15625,55.0,1971.0,0.167427701674277,342.7769886363636,0,India,75,Delhi Daredevils,Bowler
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,0,India,0,Chennai Super Kings,Batsman
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,0,India,0,Kochi Tuskers Kerala,Batsman
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,0,India,0,Deccan Chargers,Batsman
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,0,India,0,Sunrisers Hyderabad,Batsman
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,0,India,0,Mumbai Indians,Batsman
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,0,India,0,Royal Challengers Bangalore,Batsman
17,PA Patel,1927.0,1752.0,275.0,109.98858447488584,15.69634703196347,,,,,1,India,0,Chennai Super Kings,Wicketkeeper
